date,open,max_v,min_v,close,volume,crypto
2021-04-12,"50.468,83","51.524,51","50.193,07","50.844,76",42.475.196.416,bitcoin
2021-04-11,"50.286,75","51.080,24","49.820,03","50.609,20",38.903.874.523,bitcoin
2021-04-10,"48.949,48","51.489,55","48.768,77","50.242,22",48.935.806.674,bitcoin
2021-04-09,"48.950,57","49.553,62","48.623,29","48.942,11",39.203.438.637,bitcoin
2021-04-08,"47.252,96","48.956,29","47.064,21","48.948,38",44.525.448.347,bitcoin
2021-04-07,"49.003,69","49.448,04","46.868,35","47.210,02",63.716.039.208,bitcoin
2021-04-06,"50.073,36","50.336,08","48.681,75","49.008,61",55.632.948.185,bitcoin
2021-04-05,"49.935,17","50.707,93","49.086,76","49.976,84",51.371.772.183,bitcoin
2021-04-04,"48.986,64","50.099,72","48.610,75","49.933,20",43.127.215.841,bitcoin
2021-04-03,"50.508,41","51.117,23","48.985,83","48.985,83",50.718.462.577,bitcoin
2021-04-02,"50.175,24","51.184,92","50.011,34","50.497,27",49.939.060.095,bitcoin
2021-04-01,"50.247,15","50.761,32","49.843,75","50.172,64",52.357.428.406,bitcoin
2021-03-31,"50.267,82","51.103,47","49.192,61","50.240,56",55.870.132.689,bitcoin
2021-03-30,"49.071,73","50.642,14","48.656,43","50.257,09",46.415.513.387,bitcoin
2021-03-29,"47.469,39","49.509,45","46.820,03","49.071,79",48.965.901.937,bitcoin
2021-03-28,"47.459,64","47.875,45","46.699,70","47.471,80",40.460.013.386,bitcoin
2021-03-27,"46.749,66","47.962,66","45.991,10","47.458,43",40.076.024.963,bitcoin
2021-03-26,"43.889,37","46.749,44","43.801,77","46.749,44",48.033.869.056,bitcoin
2021-03-25,"44.635,41","45.187,79","43.093,26","43.907,33",57.745.645.064,bitcoin
2021-03-24,"46.206,23","48.454,45","44.467,14","44.675,63",59.738.118.759,bitcoin
2021-03-23,"45.684,75","47.231,16","44.838,55","46.230,27",47.662.707.362,bitcoin
2021-03-22,"48.400,56","49.095,93","45.497,93","45.699,41",47.369.105.335,bitcoin
2021-03-21,"48.809,19","49.192,55","46.872,50","48.405,21",43.709.708.070,bitcoin
2021-03-20,"48.827,89","50.250,09","48.728,31","48.812,31",42.156.042.545,bitcoin
2021-03-19,"48.538,95","49.977,86","47.535,96","48.839,94",41.069.651.510,bitcoin
2021-03-18,"49.148,39","50.395,45","45.520,60","48.546,07",46.773.269.733,bitcoin
2021-03-17,"47.744,66","49.206,13","45.834,09","49.129,88",50.287.731.657,bitcoin
2021-03-16,"46.820,77","47.739,87","44.903,38","47.727,08",50.201.362.534,bitcoin
2021-03-15,"49.595,10","50.651,14","46.427,17","46.876,45",55.690.582.652,bitcoin
2021-03-14,"51.217,17","51.532,39","49.624,30","49.624,30",36.736.633.354,bitcoin
2021-03-13,"47.972,38","51.604,29","47.031,56","51.235,54",50.755.954.934,bitcoin
2021-03-12,"48.260,83","48.397,08","46.400,93","47.962,94",46.589.149.629,bitcoin
2021-03-11,"46.931,28","48.472,58","45.614,77","48.247,39",47.385.377.215,bitcoin
2021-03-10,"46.082,16","48.033,21","44.874,66","46.969,33",48.048.644.343,bitcoin
2021-03-09,"44.108,82","46.082,25","43.888,00","46.082,25",42.794.119.992,bitcoin
2021-03-08,"42.908,68","44.139,58","41.620,09","44.086,50",41.007.335.943,bitcoin
2021-03-07,"41.052,61","43.084,97","41.052,61","42.935,99",36.170.069.489,bitcoin
2021-03-06,"41.052,96","41.244,39","39.658,56","41.047,32",28.837.937.827,bitcoin
2021-03-05,"40.550,01","41.470,57","38.919,18","41.076,53",40.823.509.587,bitcoin
2021-03-04,"41.939,57","42.899,51","39.813,22","40.578,54",43.739.383.062,bitcoin
2021-03-03,"40.063,17","43.555,67","39.945,79","41.952,80",44.179.660.436,bitcoin
2021-03-02,"41.176,31","41.606,48","39.066,09","40.032,70",39.330.914.776,bitcoin
2021-03-01,"37.350,48","41.319,69","37.313,16","41.192,19",44.727.892.898,bitcoin
2021-02-28,"38.265,09","38.697,84","35.819,45","37.332,50",44.202.316.989,bitcoin
2021-02-27,"38.390,06","39.970,89","37.498,87","38.260,48",38.030.607.901,bitcoin
2021-02-26,"38.806,40","40.021,41","36.636,48","38.385,91",290.727.102.068,bitcoin
2021-02-25,"40.847,49","42.492,49","38.735,16","38.735,16",44.832.195.559,bitcoin
2021-02-24,"40.190,11","42.211,42","38.837,59","40.844,41",52.340.584.486,bitcoin
2021-02-23,"44.561,28","44.561,28","37.269,81","40.181,33",87.319.805.134,bitcoin
2021-02-22,"47.450,18","47.461,77","40.337,86","44.563,24",75.675.282.178,bitcoin
2021-02-21,"46.267,89","48.134,50","45.941,15","47.456,13",42.802.585.284,bitcoin
2021-02-20,"46.118,34","47.453,43","45.077,95","46.293,44",56.233.769.904,bitcoin
2021-02-19,"42.736,29","46.308,13","42.149,53","46.119,00",52.396.611.048,bitcoin
2021-02-18,"43.286,50","43.561,96","42.287,22","42.739,45",43.049.516.673,bitcoin
2021-02-17,"40.706,87","43.628,31","40.604,15","43.293,17",67.095.762.025,bitcoin
2021-02-16,"39.518,32","41.385,67","38.881,41","40.700,74",63.739.498.591,bitcoin
2021-02-15,"40.176,93","40.319,02","38.210,53","39.518,81",63.525.021.825,bitcoin
2021-02-14,"38.871,78","40.829,73","38.871,78","40.194,05",58.783.505.751,bitcoin
2021-02-13,"39.183,66","39.641,74","38.275,91","38.864,36",57.960.068.600,bitcoin
2021-02-12,"39.467,82","40.177,79","38.387,75","39.194,92",63.163.420.949,bitcoin
2021-02-11,"37.048,98","39.940,25","36.473,29","39.494,44",67.093.600.562,bitcoin
2021-02-10,"38.352,93","38.880,10","36.177,20","37.065,05",72.038.065.748,bitcoin
2021-02-09,"38.320,15","39.742,19","37.317,62","38.362,30",75.773.512.740,bitcoin
2021-02-08,"32.274,86","38.335,86","31.629,58","38.329,67",84.188.369.335,bitcoin
2021-02-07,"32.575,34","32.883,79","31.078,10","32.288,65",54.363.501.629,bitcoin
2021-02-06,"31.653,34","33.900,22","31.653,34","32.588,47",59.196.399.696,bitcoin
2021-02-05,"30.864,14","31.829,68","30.629,39","31.658,25",48.634.051.191,bitcoin
2021-02-04,"31.121,95","32.148,94","30.341,82","30.859,55",57.528.804.826,bitcoin
2021-02-03,"29.501,96","31.129,62","29.442,22","31.119,45",50.797.207.476,bitcoin
2021-02-02,"27.787,29","29.868,90","27.758,38","29.501,52",52.413.239.715,bitcoin
2021-02-01,"27.316,28","28.640,81","26.701,19","27.790,58",50.879.442.007,bitcoin
2021-01-31,"28.235,54","28.249,92","26.587,17","27.316,10",43.517.327.759,bitcoin
2021-01-30,"28.255,70","28.700,07","27.139,19","28.234,42",53.669.896.754,bitcoin
2021-01-29,"28.312,97","31.619,61","26.499,84","28.272,55",97.130.862.506,bitcoin
2021-01-28,"25.151,76","26.367,98","24.827,54","26.110,99",65.132.391.850,bitcoin
2021-01-27,"26.770,89","26.770,89","24.326,74","25.144,74",51.703.736.731,bitcoin
2021-01-26,"26.648,19","26.962,83","25.522,39","26.775,67",49.535.981.991,bitcoin
2021-01-25,"26.535,15","28.648,33","26.428,95","26.654,60",49.326.841.880,bitcoin
2021-01-24,"26.337,33","27.059,85","25.550,69","26.538,09",39.979.537.424,bitcoin
2021-01-23,"27.099,71","27.402,34","25.868,13","26.340,01",39.718.049.871,bitcoin
2021-01-22,"25.331,87","27.783,74","23.802,71","27.116,15",63.430.252.390,bitcoin
2021-01-21,"29.344,04","29.349,66","24.863,67","25.338,51",62.178.072.138,bitcoin
2021-01-20,"29.697,43","29.955,81","27.749,53","29.342,68",55.168.197.409,bitcoin
2021-01-19,"30.339,00","31.129,62","29.713,66","29.713,66",47.156.737.845,bitcoin
2021-01-18,"29.662,53","30.927,67","28.899,03","30.328,93",40.994.649.866,bitcoin
2021-01-17,"29.938,04","30.384,22","28.204,25","29.661,73",43.392.810.402,bitcoin
2021-01-16,"30.482,77","31.345,98","29.509,46","29.950,04",47.772.009.926,bitcoin
2021-01-15,"32.225,66","32.558,05","28.660,19","30.485,84",56.095.675.651,bitcoin
2021-01-14,"30.690,12","32.956,90","30.354,29","32.250,86",52.355.450.869,bitcoin
